facility_name,state,industry_sector,total_ghg_emissions_tonnes,latitude,longitude,reporting_year
121 REGIONAL DISPOSAL FACILITY,TX,Waste,314493.75,33.29857,-96.53586,2021
15-18565/15-18662,KY,Other,112348.75,37.274127,-83.239034,2021
1500 South Tibbs LLC d/b/a Aurorium Indianapolis LLC,IN,Chemicals,64820.056,39.73,-86.26,2021
23rd and 3rd,NY,Power Plants,46081.78,40.663,-74.0,2021
31st Street Landfill,IL,Waste,7750.748,41.834962,-87.916392,2021
3M BROWNWOOD,TX,Minerals,28243.244,31.671177,-98.996513,2021
3M CO,MN,Other,82787.508,44.951,-92.9959,2021
3M CO - GUIN,AL,Minerals,31129.936,33.96548,-87.89936,2021
3M CO - WAUSAU DOWNTOWN,WI,Other,41219.744,44.95018,-89.63766,2021
3M Chemical Operations' Cordova Facility,IL,"Chemicals,Industrial Gas Suppliers",687525.6494,41.755,-90.284167,2021
3M Chemical Operations' Cottage Grove Facility,MN,"Chemicals,Industrial Gas Suppliers,Minerals",63760.311227,44.789444,-92.908333,2021
3M Chemical Operations' Decatur Facility,AL,"Chemicals,Industrial Gas Suppliers",45773.58156,34.641667,-87.038611,2021
3M INDUSTRIAL MINERAL PRODUCTS DIVISION,AR,Other,32655.028,34.70537,-92.24607,2021
3M MAGNETIC TAPE MANUFACTURING DIVISION,MN,Other,36926.26,44.879677,-94.359598,2021
3M NEVADA PLANT,MO,Other,34006.772,37.834476,-94.330625,2021
3M Pittsboro,NC,Minerals,29339.24,35.660546,-79.176782,2021
48th Street Peaking Station,MI,Power Plants,38254.66,42.7553,-86.0853,2021
58TH ST LF (MAIN COUNTY LF),FL,Waste,60334.5,25.83301,-80.3465,2021
59th Street,NY,Power Plants,180185.666,40.7711,-73.9911,2021
74th Street,NY,Power Plants,195068.358,40.768,-73.9515,2021
A B Brown Generating Station,IN,Power Plants,3077205.934,37.9053,-87.715,2021
"A.C.M.S., Inc.",FL,Waste,255049.25,28.743151,-82.091653,2021
A.J. Mihm Generating Station,MI,Power Plants,119056.152,46.793722,-88.616566,2021
ABBOTT PARK FACILITY,IL,Other,56477.688,42.30227,-87.89065,2021
ABBVIE LTD.,PR,Chemicals,61957.898,18.433237,-66.570509,2021
ABC COKE,AL,Metals,175860.388,33.580769,-86.781281,2021
ABERDEEN ENERGY LLC,SD,Other,190887.632,45.442417,-98.787139,2021
ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,MD,Other,98481.41,39.481881,-76.137166,2021
ABSOLUTE ENERGY LLC,IA,"Other,Waste",147591.632,43.49951,-92.91709,2021
ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,LA,Waste,45791.5,30.256038,-92.532637,2021
ACE ETHANOL LLC,WI,"Other,Suppliers of CO2",75318.816,44.9589,-90.9608,2021
